issue,mode,steps,final_time_local,excluded,widen,updated,note
2026-01-10,llm,10,2026-01-10 14:00:00,,1.15,True,"На 11 января ожидается высокая выработка (среднее P50: 0.71, 8 часов выше 0.8), на 12 января — снижение (среднее P50: 0.34, 3 часа выше 0.8, 6 часов почти штиль). Интервалы неопределённости расширены на 15% из-за высокого разброса моделей (28 часов выше порога 2.5 м/с). Прогноз пересчитан по свежим данным ECMWF 00z и других моделей, изменения по сравнению с предыдущим прогнозом незначительные (среднее отклонение 0.034). Заявка сформирована по критическому квантилю 0.31 с учётом цен дисбаланса."
2026-01-11,llm,10,2026-01-11 14:00:00,,1.1,True,"На 12 января ожидается средняя выработка 0.21 (максимум 0.58), на 13 января — 0.33 (максимум 0.93). В первый день преобладает слабый ветер (8 часов ниже 0.05), во второй — 5 часов сильного ветра (выше 0.8). Интервалы прогноза расширены из-за пересмотра и разброса моделей. Прогноз пересчитан по свежим данным ECMWF 9 км (изменение ветра 0.91 м/с), что снизило ожидаемую генерацию на D+1."
2026-01-12,llm,10,2026-01-12 14:00:00,,1.1,True,"На 13 января ожидается средняя выработка 0.41 (максимум до 0.98), 7 часов с высокой генерацией (>0.8), 8 часов почти без ветра. На 14 января прогноз понижен: средняя выработка 0.27, максимум 0.71, 3 часа с минимальной генерацией. Интервалы расширены на 10% из-за высокого разброса моделей. Прогноз пересчитан по свежим данным (2026-01-12 00z), среднее изменение ветра составило 0.72 м/с."
2026-01-13,llm,9,2026-01-13 14:00:00,,1.0,True,"На 14 января ожидается средняя выработка 0.26 (максимум 0.69), на 15 января — слабый ветер, средняя выработка 0.05. Ветреных периодов не ожидается, в ночь на 15 января — длительный штиль. Интервалы неопределенности умеренные (0.46/0.25). Прогноз пересчитан по свежему прогону ECMWF 9 км (00z), что увеличило ожидаемую выработку на D+1 и снизило на D+2."
2026-01-14,llm,9,2026-01-14 14:00:00,,1.0,True,"На 15 января ожидается слабый ветер (средний P50 = 0.07), большая часть суток с минимальной генерацией, на 16 января прогнозируется усиление ветра (средний P50 = 0.39), возможны периоды с генерацией до 0.9 от номинала. Интервалы неопределённости умеренные, на D+2 чуть шире (0.49). Прогноз пересчитан по свежим данным ECMWF 9 км (изменение ветра 0.91 м/с), что повысило ожидаемую генерацию на 16 января. Существенных пересчетов по сравнению с предыдущим прогнозом нет."
2026-01-15,llm,10,2026-01-15 14:00:00,,1.1,True,"На 16 января ожидается средняя выработка 0.33, максимум по часу 0.94, 4 часа выше 0.8, 6 часов ниже 0.05. На 17 января прогнозируется повышение: средняя 0.60, максимум 0.99, 12 часов выше 0.8. Интервалы расширены на 10% из-за близкого к порогу разброса ансамбля. Прогноз пересчитан по свежим данным (2026-01-15 00z), крупных изменений нет."
2026-01-16,llm,8,2026-01-16 10:00:00,,1.0,False,"На 17 января ожидается высокая выработка (среднее P50 — 0.60, до 12 часов выше 0.8), на 18 января — преимущественно спокойная погода (среднее P50 — 0.14, 11 часов ниже 0.05). Интервалы неопределённости умеренные (ширина 0.26–0.30), крупных изменений по сравнению с предыдущим прогнозом нет. Все источники данных были свежими и согласованными, корректировок не потребовалось. Новые прогоны NWP увеличивают ветер менее чем на 0.3 м/с, поэтому пересчёт не требуется."
2026-01-17,llm,9,2026-01-17 10:00:00,,1.1,False,"На 18 января ожидается слабый ветер (средний выпуск 0.13, 10 часов почти без генерации). На 19 января прогнозируется значительное усиление ветра (средний выпуск 0.68, 11 часов выше 0.8). Интервалы расширены на 10% из-за высокой неопределённости на второй день. Существенных изменений по сравнению с предыдущим прогнозом нет, свежие прогоны не вносят значимых корректив."
2026-01-18,llm,9,2026-01-18 14:00:00,,1.0,True,"На 19 января ожидается средняя выработка (P50=0.66), 11 часов с мощностью выше 0.8, спокойных периодов нет. На 20 января прогнозируется слабый ветер (P50=0.07), 13 часов с мощностью ниже 0.05. Интервалы неопределённости умеренные, существенных пересмотров по сравнению с предыдущим днём не было. Прогноз обновлён по свежему прогону ECMWF 9 км (2026-01-18 00z), что повысило точность."
2026-01-19,llm,10,2026-01-19 14:00:00,,1.1,True,"20 января ожидается очень слабая выработка (среднее P50 — 0.04, 19 часов ниже 5%), 21 января — резкое усиление ветра (среднее P50 — 0.90, 21 час выше 80%). Интервалы расширены из-за высокого разброса моделей (до 0.41). Прогноз пересчитан по свежему прогону ECMWF 9 км (ветер изменился на 0.76 м/с). Существенных пересмотров по сравнению с предыдущим днем нет."
2026-01-20,llm,10,2026-01-20 14:00:00,,1.1,True,"На 21 января ожидается высокий выход (среднее 0.90, 21 час выше 0.8), на 22 января — умеренный (среднее 0.51, 9 часов выше 0.8, 1 час почти штиль). Интервалы расширены из-за повышенной неопределенности (ширина до 0.54). Прогноз пересчитан по свежим данным ECMWF 9 км (2026-01-20 00z), что увеличило ожидаемую генерацию на D+1 на 1%. Существенных резких изменений по сравнению с предыдущим прогнозом нет."
2026-01-21,llm,10,2026-01-21 14:00:00,,1.1,True,"На 22 января ожидается средняя выработка 0.47 (P50), максимальная — 0.97, 7 часов выше 0.8, 2 часа почти без ветра. На 23 января средняя выработка 0.43, максимум 0.99, 5 часов выше 0.8. Интервалы расширены из-за высокого разброса ансамбля (до 0.57). Прогноз пересчитан по свежим данным ECMWF 21.01 00z, изменения по сравнению с предыдущим днём умеренные."
2026-01-22,llm,10,2026-01-22 14:00:00,,1.1,True,"На 23 января ожидается средняя выработка 0.51 (максимум 0.97), на 24 января — 0.67 (максимум 0.99). В оба дня преобладают ветреные периоды, особенно 24 января (14 часов выше 0.8). Интервалы неопределённости расширены из-за высокого разброса моделей (до 0.58). Прогноз пересчитан по свежим данным ECMWF и других моделей, что увеличило ожидаемую выработку на 4-5%. Заявка рассчитана с учётом оптимального риска."
2026-01-23,llm,10,2026-01-23 14:00:00,,1.1,True,"На 24 января ожидается средняя генерация (P50=0.71), 14 часов выше 0.8, спокойных периодов почти нет. На 25 января прогнозируется слабый ветер (P50=0.28), 8 часов ниже 0.05, только 3 часа выше 0.8. Интервалы расширены на 10% из-за высокого разброса моделей. Прогноз пересчитан по свежим данным ECMWF 9 км (00z), что повысило ожидаемую генерацию на D+1."
2026-01-24,llm,9,2026-01-24 14:00:00,,1.0,True,"На 25 января ожидается средняя выработка 0.17 (низкая, 13 часов ниже 0.05), максимум до 0.97 во второй половине дня. На 26 января прогнозируется рост генерации: среднее 0.44, 7 часов выше 0.8. Интервалы неопределенности умеренные (D+2 шире D+1). Прогноз пересчитан по свежим данным ECMWF 9 км (00z), среднее изменение ветра 0.39 м/с. Существенных пересмотров по сравнению с предыдущим прогнозом нет."
2026-01-25,llm,9,2026-01-25 10:00:00,gfs_seamless,1.1,False,"На 26 января ожидается средняя выработка (около 49% от максимума), с тремя часами сильного ветра (выше 0.8) и двумя спокойными (ниже 0.05). На 27 января прогнозируется почти полный штиль (до 20 часов ниже 0.05). Интервалы расширены на 10% из-за высокого разброса ансамбля (26 часов выше 2.5 м/с). GFS исключён как выброс (отклонение 3.35 м/с). Существенных изменений по сравнению с предыдущим прогнозом нет, свежие прогоны незначительно меняют ветер (0.25 м/с), поэтому прогноз 10:00 оставлен без пересчёта."
2026-01-26,llm,8,2026-01-26 10:00:00,,1.0,False,"На 27 января ожидается слабый ветер: средний ожидаемый выпуск 0.13, большая часть суток ниже 0.05, максимум 0.68. На 28 января ветер еще слабее, средний выпуск 0.08, максимум 0.25. Существенных ветреных периодов не ожидается, прогноз стабильный, пересчет по свежим данным не требуется, так как изменение ветра по ансамблю всего 0.24 м/с. Интервалы неопределенности стандартные, резких изменений по сравнению с предыдущим прогнозом нет."
2026-01-27,llm,9,2026-01-27 14:00:00,,1.0,True,"На 28 января ожидается низкая генерация (средний P50 = 0.11), большую часть суток ветер слабый (12 часов ниже 5% от максимума). На 29 января прогнозируется усиление ветра (средний P50 = 0.34), один час выше 80% мощности, спокойных часов нет. Интервалы неопределённости расширены для D+2 (средняя ширина 0.57), что отражает рост разброса моделей. Прогноз пересчитан по свежим данным (прогоны 27.01 00z), так как ветер усилился на 0.61 м/с по ансамблю."
2026-01-28,llm,10,2026-01-28 14:00:00,,1.1,True,"На 29.01 ожидается средняя выработка (P50=0.42), без штилей и с коротким периодом сильного ветра (2 часа выше 0.8). На 30.01 прогнозируется высокая выработка (P50=0.83), 20 часов с мощностью выше 0.8. Интервалы неопределенности расширены из-за высокого разброса моделей (до 0.60). Прогноз пересчитан по свежим данным ECMWF 9 км (+0.92 м/с к ветру), что повысило ожидаемую генерацию."
2026-01-29,llm,9,2026-01-29 10:00:00,,1.15,False,"На 30 января ожидается высокий средний выход (p50=0.79), 18 часов выше 0.8, спокойных периодов нет. На 31 января прогноз ниже (p50=0.56), 9 часов выше 0.8, один час почти без ветра. Неопределенность повышена: разброс ансамбля превышает порог на 34 часах, интервалы расширены на 15%. Существенных пересчетов против вчерашнего прогноза нет (среднее изменение 0.055). Ожидается обновление прогонов ECMWF, после чего прогноз будет пересчитан."
2026-01-30,llm,10,2026-01-30 14:00:00,gfs_seamless,1.1,True,"На 31 января ожидается средняя выработка (P50=0.54), с пиками до 0.87 и 4 часами выше 0.8; на 1 февраля прогнозируется спокойная погода, средняя выработка всего 0.09, 11 часов почти без ветра. Интервалы неопределённости расширены на 10% из-за высокого разброса между моделями. GFS исключён как выброс, прогноз пересчитан по свежим данным ECMWF и ICON (00z). Существенных резких изменений по сравнению с предыдущим днём нет."
